place_id,city,n_obs,last_year,last_population,best_model,mae_ets,rmse_ets,2025_ets,2026_ets,2027_ets,2028_ets,2029_ets,mae_arima,rmse_arima,2025_arima,2026_arima,2027_arima,2028_arima,2029_arima,2025_forecast,2025_lower,2025_upper,2026_forecast,2026_lower,2026_upper,2027_forecast,2027_lower,2027_upper,2028_forecast,2028_lower,2028_upper,2029_forecast,2029_lower,2029_upper,pct_change_5y
4815976,"College Station city, Texas",19,2024,128017,ets,1561,2188,130029,132076,134047,135944,137769,6474,7050,129537,130927,132200,133364,134430,130029,126088,134063,132076,128133,135915,134047,130054,138041,135944,132009,139907,137769,133731,141664,7.62
0614218,"Clovis city, California",19,2024,127994,ets,5901,6756,128229,130538,132834,135120,137393,15785,15987,130556,133119,135681,138243,140806,128229,122583,134010,130538,124888,136038,132834,127112,138558,135120,129482,140799,137393,131608,142975,7.34
1276600,"West Palm Beach city, Florida",19,2024,127733,arima,6909,7490,128739,130733,132717,134691,136655,6144,6442,129979,132225,134470,136716,138962,129979,125750,134207,132225,126188,138261,134470,127009,141932,136716,128022,145410,138962,129155,148769,8.79
4202000,"Allentown city, Pennsylvania",19,2024,127225,ets,1853,2390,126347,126808,127238,127639,128014,4075,4365,127523,127293,127470,127333,127439,126347,122050,130747,126808,122507,130994,127238,122882,131594,127639,123348,131962,128014,123610,132262,0.62
1208150,"Brandon CDP, Florida",19,2024,127048,ets,6084,6921,126260,127604,128897,130142,131341,7821,9275,125913,126188,126122,126138,126134,126260,118208,134504,127604,119547,135448,128897,120737,137060,130142,122102,138242,131341,123089,139301,3.38
4550875,"North Charleston city, South Carolina",19,2024,126015,ets,4615,5671,125408,126620,127760,128833,129843,7610,9582,126889,127628,128255,128786,129235,125408,117288,133721,126620,118495,134530,127760,119531,135991,128833,120726,137001,129843,121523,137870,3.04
0672016,"Simi Valley city, California",19,2024,125773,arima,3111,3226,126135,126153,126167,126178,126187,1039,1256,125830,125837,125838,125838,125838,125830,122365,129295,125837,120734,130940,125838,119486,132190,125838,118443,133233,125838,117530,134146,0.05
2071000,"Topeka city, Kansas",19,2024,125475,arima,4013,4115,125268,125212,125167,125131,125102,1313,1399,125818,125478,125815,125480,125812,125818,121868,129767,125478,119881,131074,125815,118965,132665,125480,117566,133395,125812,116967,134658,0.27
3774440,"Wilmington city, North Carolina",19,2024,125267,arima,3914,4567,124655,125260,125812,126314,126772,3833,4037,126057,126784,127452,128066,128631,126057,121527,130588,126784,120262,133306,127452,119331,135573,128066,118542,137590,128631,117827,139434,2.69
1238250,"Lakeland city, Florida",19,2024,124997,ets,8993,9233,127382,130365,133334,136287,139226,11964,12131,125600,125242,125454,125329,125403,127382,122131,132758,130365,123669,136653,133334,124573,141958,136287,124264,147638,139226,123728,154023,11.38
