city,place_id,signals_used,hotel_score,multifamily_score,pop_growth_5y_pct
Tampa,1271000,"employment, permits, population",4.291083584778842,3.3895980053039794,5.901506143858082
Jacksonville,1235000,"employment, permits, population",1.6637579191915457,1.2895462013783174,7.714851902985751
Orlando,1253000,"employment, permits, population",1.2810904507606142,1.0009919020176132,9.793895691327835
St. Petersburg,1263000,"employment, permits, population",0.9918952035455452,0.7932221309525739,1.0933353837946727
Miami,1245000,"employment, permits, population",0.5458453210290025,0.3710988213023738,2.4973661997989045
