date,permits_units
2001-02-01,1472
2001-03-01,1717
2001-04-01,1997
2001-05-01,1975
2001-06-01,2016
2001-07-01,1653
2001-08-01,1759
2001-09-01,1367
2001-10-01,1528
2001-11-01,2173
2001-12-01,1440
2002-01-01,1245
2002-02-01,1810
2002-03-01,1732
2002-04-01,2308
2002-05-01,1747
2002-06-01,1641
2002-07-01,1672
2002-08-01,1920
2002-09-01,1484
2002-10-01,2043
2002-11-01,1416
2002-12-01,1876
2003-01-01,1610
2003-02-01,1199
2003-03-01,1905
2003-04-01,1736
2003-05-01,1878
2003-06-01,2318
2003-07-01,1531
2003-08-01,1861
2003-09-01,1518
2003-10-01,1800
2003-11-01,1168
2003-12-01,1530
2004-01-01,1404
2004-02-01,1274
2004-03-01,2311
2004-04-01,2164
2004-05-01,1931
2004-06-01,1932
2004-07-01,2638
2004-08-01,1717
2004-09-01,1526
2004-10-01,1448
2004-11-01,1596
2004-12-01,1598
2005-01-01,1419
2005-02-01,1448
2005-03-01,1867
2005-04-01,1931
2005-05-01,1968
2005-06-01,1905
2005-07-01,1915
2005-08-01,2052
2005-09-01,2127
2005-10-01,1901
2005-11-01,1902
2005-12-01,1465
2006-01-01,1629
2006-02-01,2061
2006-03-01,2458
2006-04-01,2513
2006-05-01,2034
2006-06-01,2213
2006-07-01,2081
2006-08-01,1975
2006-09-01,2386
2006-10-01,2075
2006-11-01,1454
2006-12-01,2470
2007-01-01,2405
2007-02-01,1605
2007-03-01,1625
2007-04-01,1748
2007-05-01,2184
2007-06-01,2380
2007-07-01,1792
2007-08-01,1482
2007-09-01,1552
2007-10-01,1416
2007-11-01,1573
2007-12-01,821
2008-01-01,1525
2008-02-01,1224
2008-03-01,834
2008-04-01,758
2008-05-01,1530
2008-06-01,1609
2008-07-01,995
2008-08-01,1089
2008-09-01,558
2008-10-01,825
2008-11-01,505
2008-12-01,688
2009-01-01,804
2009-02-01,242
2009-03-01,507
2009-04-01,543
2009-05-01,481
2009-06-01,1064
2009-07-01,407
2009-08-01,989
2009-09-01,598
2009-10-01,588
2009-11-01,379
2009-12-01,469
2010-01-01,466
2010-02-01,642
2010-03-01,639
2010-04-01,629
2010-05-01,520
2010-06-01,554
2010-07-01,470
2010-08-01,406
2010-09-01,359
2010-10-01,329
2010-11-01,260
2010-12-01,348
2011-01-01,359
2011-02-01,434
2011-03-01,636
2011-04-01,476
2011-05-01,491
2011-06-01,601
2011-07-01,525
2011-08-01,836
2011-09-01,507
2011-10-01,500
2011-11-01,525
2011-12-01,388
2012-01-01,995
2012-02-01,923
2012-03-01,878
2012-04-01,815
2012-05-01,1601
2012-06-01,706
2012-07-01,1223
2012-08-01,1114
2012-09-01,813
2012-10-01,1130
2012-11-01,967
2012-12-01,1013
2013-01-01,1451
2013-02-01,1187
2013-03-01,933
2013-04-01,1243
2013-05-01,1134
2013-06-01,1221
2013-07-01,805
2013-08-01,868
2013-09-01,1238
2013-10-01,1572
2013-11-01,1206
2013-12-01,1378
2014-01-01,872
2014-02-01,1115
2014-03-01,1671
2014-04-01,1376
2014-05-01,1071
2014-06-01,1144
2014-07-01,1676
2014-08-01,1501
2014-09-01,1999
2014-10-01,1670
2014-11-01,1072
2014-12-01,1341
2015-01-01,1079
2015-02-01,1778
2015-03-01,1313
2015-04-01,1572
2015-05-01,1888
2015-06-01,1536
2015-07-01,1444
2015-08-01,1375
2015-09-01,1700
2015-10-01,2201
2015-11-01,1082
2015-12-01,1720
2016-01-01,1090
2016-02-01,1147
2016-03-01,1827
2016-04-01,1696
2016-05-01,1168
2016-06-01,1594
2016-07-01,2347
2016-08-01,2308
2016-09-01,1842
2016-10-01,1800
2016-11-01,1168
2016-12-01,1198
2017-01-01,1327
2017-02-01,1810
2017-03-01,1841
2017-04-01,1173
2017-05-01,1549
2017-06-01,1498
2017-07-01,2054
2017-08-01,2339
2017-09-01,2258
2017-10-01,2496
2017-11-01,1982
2017-12-01,1182
2018-01-01,2893
2018-02-01,2419
2018-03-01,1795
2018-04-01,2130
2018-05-01,2226
2018-06-01,1632
2018-07-01,1793
2018-08-01,2267
2018-09-01,1749
2018-10-01,1666
2018-11-01,1506
2018-12-01,2928
2019-01-01,1238
2019-02-01,1983
2019-03-01,1984
2019-04-01,1781
2019-05-01,2570
2019-06-01,2157
2019-07-01,1772
2019-08-01,2156
2019-09-01,2052
2019-10-01,2162
2019-11-01,1720
2019-12-01,1899
2020-01-01,1976
2020-02-01,1961
2020-03-01,1533
2020-04-01,1197
2020-05-01,1661
2020-06-01,2628
2020-07-01,1898
2020-08-01,2418
2020-09-01,1659
2020-10-01,2323
2020-11-01,2235
2020-12-01,2202
2021-01-01,1990
2021-02-01,2177
2021-03-01,2457
2021-04-01,2247
2021-05-01,1954
2021-06-01,2708
2021-07-01,2838
2021-08-01,2818
2021-09-01,2493
2021-10-01,3149
2021-11-01,1595
2021-12-01,1789
2022-01-01,3225
2022-02-01,2820
2022-03-01,2418
2022-04-01,2851
2022-05-01,3103
2022-06-01,2097
2022-07-01,1695
2022-08-01,1734
2022-09-01,1760
2022-10-01,1924
2022-11-01,1973
2022-12-01,1690
2023-01-01,1930
2023-02-01,2847
2023-03-01,2409
2023-04-01,3684
2023-05-01,2982
2023-06-01,1986
2023-07-01,1762
2023-08-01,2212
2023-09-01,3105
2023-10-01,2695
2023-11-01,1882
2023-12-01,2201
2024-01-01,1655
2024-02-01,2178
2024-03-01,2096
2024-04-01,2623
2024-05-01,2913
2024-06-01,2036
2024-07-01,2124
2024-08-01,2347
2024-09-01,2232
2024-10-01,1745
2024-11-01,1786
2024-12-01,2102
2025-01-01,2304
2025-02-01,1827
2025-03-01,2471
2025-04-01,1739
2025-05-01,1571
2025-06-01,2356
2025-07-01,1670
2025-08-01,1481
2025-09-01,1586
2025-10-01,1815
2025-11-01,1326
2025-12-01,989
2026-01-01,1431
2026-02-01,1994
2026-03-01,2197
2026-04-01,2394
