,point,P10,P25,P50,P75,P90,immigration_freeze,high_growth,recession_2027
2026,2994103.0,2978446.191367292,2986387.1836715573,2994090.0463045174,3001544.4840690466,3009512.963334681,2989980.0,2996851.0,2994103.0
2027,3049420.0,3018952.9969376875,3034096.216585499,3049292.6001222283,3064197.444748287,3079982.340842511,3038439.0,3056741.0,3049487.0
2028,3104868.0,3059534.316019561,3081878.8568402342,3104591.9228213383,3126963.6329378607,3150350.3509260667,3085201.0,3117979.0,3103100.0
2029,3160502.0,3100420.274364822,3129670.753303995,3160379.940542561,3190219.753827591,3220365.6669331244,3130916.0,3180226.0,3156654.0
2030,3216359.0,3141034.156336855,3178312.1617754493,3216280.5815475173,3253432.2938935733,3291325.8398287324,3176010.0,3243259.0,3211327.0
