,point,P10,P25,P50,P75,P90,immigration_freeze,high_growth
2026,2993661.0,2967079.4555335026,2980549.00074201,2993638.6450441573,3006328.636456443,3019918.1568191736,2989539.0,2996409.0
2027,3048127.0,3008497.1780994027,3028014.095785087,3048117.812962002,3068039.5503353346,3087622.6688812952,3037151.0,3055444.0
2028,3102349.0,3052044.3226448656,3076357.3324452713,3101934.485820321,3127367.0301485527,3152359.0786842387,3082698.0,3115450.0
2029,3156405.0,3096993.335234166,3125960.56798194,3155983.5065774904,3186265.6592791006,3215983.345321355,3126857.0,3176104.0
2030,3210348.0,3142677.966671426,3175424.8108331696,3210276.2891393173,3244945.689819879,3279178.813204169,3170074.0,3237197.0
